Epochs;Steps; GeneratorLoss; DiscriminatorLoss
0;0;  0.0685706901550293; 0.0036113563179969786
0;200;  5.100103687047957; 0.24921997614204872
0;400;  4.175001810789107; 0.21841591507196445
1;600;  3.792649195194242; 0.21352044336497786
1;800;  3.6366850078105926; 0.19740891214460154
2;1000;  3.54515600323677; 0.19728156432509442
2;1200;  3.453375080823898; 0.19429567985236643
3;1400;  3.367029815912246; 0.19188544876873484
3;1600;  3.241018621921541; 0.18446773279458292
4;1800;  3.2325811338424693; 0.1859795903414488
4;2000;  3.2625487983226784; 0.1909519601613283
5;2200;  3.2183807897567736; 0.19231607239693407
5;2400;  3.1809281826019298; 0.18794820949435226
6;2600;  3.2231432938575737; 0.17220736972987657
6;2800;  3.2612095606327065; 0.1679467054456471
7;3000;  3.2811116409301784; 0.17309963990002877
7;3200;  3.0508130419254287; 0.18412434298545136
8;3400;  2.694576503038406; 0.28587672106921685
8;3600;  2.5701834833621975; 0.2535789251327515
9;3800;  2.6183218932151786; 0.25165749050676833
9;4000;  2.4583587515354153; 0.2502626109123231
10;4200;  2.435266472697258; 0.2503404635936022
10;4400;  2.3822446662187575; 0.24987151995301243
10;4600;  2.3054898798465717; 0.24874793089926228
11;4800;  2.361551346182823; 0.2478783817589283
11;5000;  2.4082194966077792; 0.24324847064912322
12;5200;  2.3611139231920233; 0.2430341168493033
12;5400;  2.399850156307219; 0.24070438332855693
13;5600;  2.372075390815737; 0.23603331170976155
13;5800;  2.3084652221202866; 0.23729514114558686
14;6000;  2.2563568574190143; 0.23462134890258318
14;6200;  2.3121819323301316; 0.2324272765219212
15;6400;  2.253017793893814; 0.23634304560720903
15;6600;  2.276666571497916; 0.23492600329220303
16;6800;  2.283127363324165; 0.23472458288073525
16;7000;  2.2660450267791745; 0.23284159570932392
17;7200;  2.260627876520157; 0.23019486807286735
17;7400;  2.2196103852987292; 0.230914924889803
18;7600;  2.2397344130277634; 0.23153598308563225
18;7800;  2.255843150019646; 0.2326057083159684
19;8000;  2.1981344729661942; 0.23595041975378994
19;8200;  2.1975147569179536; 0.23322956241667273
20;8400;  2.1857399743795387; 0.23485272623598577
20;8600;  2.2333291411399845; 0.2282816249132158
20;8800;  2.227217242121697; 0.2264635353535414
21;9000;  2.213413169384001; 0.23012680165469648
21;9200;  2.188557043075563; 0.2267528104782105
22;9400;  2.2724204546213143; 0.22685392126440995
22;9600;  2.233666370511055; 0.22408672206103794
23;9800;  2.178954068422319; 0.22396804548799987
23;10000;  2.325423430800438; 0.21733245275914673
24;10200;  2.4441679751872996; 0.21413576707243928
24;10400;  2.3518954277038553; 0.21297177448868754
25;10600;  2.381489191651344; 0.21071013934910296
25;10800;  2.4971963047981274; 0.20135958507657048
26;11000;  2.5056367266178134; 0.19866686470806602
26;11200;  2.346836901307105; 0.18404094114899627
27;11400;  2.076178302168847; 0.17610672108829029
27;11600;  2.080725370049475; 0.17681384082883608
28;11800;  2.0319384938478446; 0.18520719945430766
28;12000;  1.9042231160402299; 0.22794297739863406
29;12200;  1.9525370883941653; 0.18792158931493766
29;12400;  2.025408803224564; 0.1822141002863645
30;12600;  1.8450044220685962; 0.2901644814759492
30;12800;  1.7190906465053548; 0.25301316872239116
30;13000;  1.6688469374179837; 0.25209652528166765
31;13200;  1.6756141066551216; 0.2518045714497566
31;13400;  1.6352939289808275; 0.2516836735606194
32;13600;  1.6427109336853036; 0.25138268537819386
32;13800;  1.61618099629879; 0.25115637801587576
33;14000;  1.6376356208324445; 0.2510539152473212
33;14200;  1.6350199586153036; 0.2508880996704102
34;14400;  1.6404524844884865; 0.2514640924334525
34;14600;  1.6475360351800918; 0.25077821530401717
35;14800;  1.6678312718868253; 0.25080313920974734
35;15000;  1.6153991520404813; 0.25099220640957354
36;15200;  1.5778570711612703; 0.2504506471008062
36;15400;  1.6038884401321416; 0.2503752747923137
37;15600;  1.5937204807996748; 0.2495568810403348
37;15800;  1.611585012674331; 0.2504955014586448
38;16000;  1.5771267724037161; 0.25010277494788175
38;16200;  1.5875904405117023; 0.24977013409137713
39;16400;  1.5879588758945467; 0.24926650397479536
39;16600;  1.6284614568948748; 0.24910062484443193
40;16800;  1.5868801981210714; 0.24885598212480564
40;17000;  1.6306665617227551; 0.24763084292411813
40;17200;  1.6330690997838984; 0.2468031996488572
41;17400;  1.6123628383874893; 0.24600027225911622
41;17600;  1.6479464173316958; 0.24470597162842744
42;17800;  1.6804461270570754; 0.24427842810750003
42;18000;  1.6754008948802959; 0.24513596355915054
43;18200;  1.683570774793625; 0.24373694241046906
43;18400;  1.7149758458137514; 0.24025299303233624
44;18600;  1.7518388468027104; 0.2396223318576814
44;18800;  1.7704847383499154; 0.2250046166777611
45;19000;  1.8445576757192619; 0.20513818517327312
45;19200;  1.7356565779447561; 0.26421919628977786
46;19400;  1.6827343660593048; 0.2519245857000351
46;19600;  1.6569270491600046; 0.2515341541171074
47;19800;  1.7093708145618443; 0.25144941329956055
47;20000;  1.6805242842435841; 0.25112436875700944
48;20200;  1.5861992460489283; 0.2509201555699109
48;20400;  1.864117846488952; 0.25078152447938923
49;20600;  1.9062481814622871; 0.2501653122901916
49;20800;  1.9080120402574543; 0.24783196561038498
50;21000;  1.8153895699977871; 0.24703878603875637
50;21200;  1.9058906877040862; 0.24006654351949697
50;21400;  1.9744565212726595; 0.23668874897062786
51;21600;  1.8877295023202905; 0.2384555009007454
51;21800;  1.9706833028793331; 0.23354163862764843
52;22000;  1.7660195249319082; 0.2353408299386501
52;22200;  1.744515840411187; 0.2297175498306751
53;22400;  1.929462006092073; 0.1999456556141377
53;22600;  1.9355921530723579; 0.22606365621089938
54;22800;  2.1551507544517525; 0.1834492080658674
54;23000;  2.028546727895736; 0.2130423835664987
55;23200;  1.9821884477138516; 0.19486076578497882
55;23400;  2.036234074831009; 0.19297887556254872
56;23600;  1.9296260231733326; 0.20235873997211445
56;23800;  1.9890201067924493; 0.2010308080166579
57;24000;  1.9500685864686969; 0.19380611322820185
57;24200;  2.0053340578079224; 0.1931042707711459
58;24400;  1.9878697097301488; 0.18727110430598273
58;24600;  1.962779483199119; 0.191822087690234
59;24800;  1.8774250531196586; 0.25631863526999943
59;25000;  1.49301829814911; 0.2523321359604596
60;25200;  1.473449172377586; 0.2517395837604998
60;25400;  1.4776554572582252; 0.2513060555607079
60;25600;  1.5181230318546286; 0.2508548505604269
61;25800;  1.4698863232135775; 0.25099181592464453
61;26000;  1.469144425392151; 0.2508230616897345
62;26200;  1.4545506072044379; 0.2506524036824704
62;26400;  1.5065861988067615; 0.2505770961195229
63;26600;  1.5670551824569703; 0.25053095646202556
63;26800;  1.7735239899158477; 0.2500724431872367
64;27000;  1.4492694282531746; 0.2501635463535784
64;27200;  1.4336798465251923; 0.25028283722698685
65;27400;  1.42773267328739; 0.25030292198061954
65;27600;  1.4581459945440298; 0.2500342956930398
66;27800;  1.462781897783279; 0.24904775954782973
66;28000;  1.4870729273557661; 0.2490554846078156
67;28200;  1.5627814245224003; 0.2483419330418109
67;28400;  1.6180890130996701; 0.24516922295093543
68;28600;  1.7863831299543387; 0.2435143309086562
68;28800;  1.8303473877906804; 0.24877832822501658
69;29000;  1.6722353458404529; 0.24797964148223406
69;29200;  1.7798843842744823; 0.24062282584607594
70;29400;  1.7861143314838412; 0.24894386745989316
70;29600;  1.6696844881773003; 0.2510441645979882
70;29800;  1.718893564939499; 0.25043426297605026
71;30000;  1.6632707667350768; 0.24924742445349693
71;30200;  1.774225044846535; 0.24295499809086313
72;30400;  1.8806812649965297; 0.23008482344448553
72;30600;  1.889270680546761; 0.21183051325380803
73;30800;  1.923387341499329; 0.2197918830811978
73;31000;  1.6502792197465894; 0.2307018741220236
74;31200;  1.4318575102090825; 0.24243789888918407
74;31400;  1.568467763662338; 0.20966807201504697
75;31600;  1.4574072206020365; 0.2684064242988825
75;31800;  1.3877700102329265; 0.25068304724991314
76;32000;  1.401290826201439; 0.2501265346258881
76;32200;  1.3949789422750474; 0.24971162341535091
77;32400;  1.4234156340360637; 0.24944008678197868
77;32600;  1.4423155647516248; 0.2489021024852992
78;32800;  1.4183945250511176; 0.24795745588839058
78;33000;  1.505803706049919; 0.2427571724355222
79;33200;  1.6165277546644214; 0.22826786473393437
79;33400;  1.7897447687387475; 0.1879950072616339
80;33600;  1.7985738509893407; 0.20122171685099585
80;33800;  1.673338096141816; 0.20337111406028283
80;34000;  1.6361039823293682; 0.20204348139464864
81;34200;  1.706981605291367; 0.19751271829009046
81;34400;  1.910983512401581; 0.19780628673732292
82;34600;  1.7235557603836071; 0.2646126610040665
82;34800;  1.6430209755897522; 0.25042733907699577
83;35000;  1.6243909966945653; 0.24947091937065105
83;35200;  1.640254241228103; 0.24793483711779127
84;35400;  1.6911363101005557; 0.2452139947563411
84;35600;  1.7797828632593153; 0.23896347627043724
85;35800;  1.96516446530819; 0.18478886872529987
85;36000;  1.7268378794193278; 0.24528528168797484
86;36200;  1.7195741397142412; 0.24784531891345976
86;36400;  1.7602290320396423; 0.233975669965148
87;36600;  2.0056815630197526; 0.1704983340948821
87;36800;  1.891230439543723; 0.18661750458180904
88;37000;  1.8933320760726922; 0.1858416514843702
88;37200;  1.9355725568532944; 0.18370285026729097
89;37400;  1.9651441490650172; 0.18042494833469397
89;37600;  2.2120994848012945; 0.20905333798378692
90;37800;  1.617466068267822; 0.25251727864146234
90;38000;  1.4021662104129784; 0.2500261755287646
90;38200;  1.3566580069065088; 0.2502743878960609
91;38400;  1.3426223665475847; 0.24934750124812113
91;38600;  1.3589073520898818; 0.24893178351223483
92;38800;  1.3513770920038228; 0.2472482953965664
92;39000;  1.3447575598955148; 0.2488660930097103
93;39200;  1.3385511028766637; 0.24828769542276852
93;39400;  1.3771842229366305; 0.2487458413839341
94;39600;  1.341061366796494; 0.24770548313856125
94;39800;  1.3590433126687997; 0.2465980713814498
95;40000;  1.3520852357149118; 0.2524256870895625
95;40200;  1.3439338493347155; 0.2501352693140507
96;40400;  1.3675995653867727; 0.24994241267442716
96;40600;  1.3387040358781819; 0.24942511625587938
97;40800;  1.3920934718847284; 0.24826323039829726
97;41000;  1.387095460295677; 0.24834394380450237
98;41200;  1.3719374555349342; 0.24804631255567078
98;41400;  1.3970512735843663; 0.24749875389039513
99;41600;  1.393729569315911; 0.24721676006913185
99;41800;  1.3948830074071887; 0.24673137798905373